"id","address","state","stage","notes","created_date","modified_date","priority","country_id","org_id","proposal_sent_date","is_lite"
2110491936,-,QLD,0,,2025-11-01 00:00:28.597,2025-11-01 00:29:39.543,2,14,523260,2025-11-01 00:29:56.818,1
2110502520,-,BE,0,,2025-11-01 00:00:46.012,2025-11-01 01:28:19.076,2,83,75126723,,0
2110507812,-,ACT,0,,2025-11-01 00:00:59.914,2025-11-18 10:38:15.463,2,14,13915737,2025-11-02 12:04:02.539,0
2110518396,-,WA,0,,2025-11-01 00:01:18.839,2025-11-01 09:45:05.479,2,14,113236941,,0
2110528980,-,VIC,0,,2025-11-01 00:01:57.850,2025-11-01 00:31:07.729,2,14,40522135,,0
2110534272,-,CO,0,,2025-11-01 00:02:24.129,2025-11-01 00:36:02.812,2,234,129744200,2025-11-01 00:20:52.472,0
2110539564,-,TX,0,,2025-11-01 00:02:28.521,2025-11-05 20:12:33.803,2,234,26579202,2025-11-05 20:12:33.886,0
2110555440,demo,CA,0,,2025-11-01 00:02:56.113,2025-11-01 00:03:00.478,2,234,76647675,,0
2110560732,-,QLD,0,,2025-11-01 00:02:59.524,2025-11-01 02:03:05.707,2,14,578081,2025-11-01 01:31:30.093,0
2110566024,-,BW,0,,2025-11-01 00:03:15.946,2025-11-06 14:16:55.267,2,83,23458754,,0
2110581900,-,QLD,0,,2025-11-01 00:04:34.273,2025-11-03 03:15:59.149,2,14,5220425,2025-11-01 00:32:38.745,0
2110587192,-,ACT,0,,2025-11-01 00:05:07.364,2025-11-05 04:26:24.284,2,14,3796393,2025-11-05 04:24:44.186,0
2110597776,-,GA,0,,2025-11-01 00:05:44.305,2025-11-01 01:24:49.003,1,234,48483175,2025-11-01 01:24:49.111,0
2110603068,-,NSW,0,,2025-11-01 00:05:58.473,2025-11-12 01:28:27.782,2,14,59518124,2025-11-01 00:14:01.529,1
2110608360,-,QLD,0,,2025-11-01 00:05:59.766,2025-11-01 00:15:30.806,2,14,38408500,2025-11-01 00:12:16.911,1
2110613652,-,Victoria,0,-,2025-11-01 00:06:14.931,2025-11-03 05:47:21.644,2,14,3569665,2025-11-03 05:47:21.578,0
2110618944,-,CA,0,,2025-11-01 00:06:17.716,2025-11-01 00:06:17.786,2,234,47955950,,0
2110629528,-,QLD,0,,2025-11-01 00:06:54.903,2025-11-03 00:57:03.066,2,14,820080,2025-11-01 00:24:53.355,0
2110634820,-,CA,0,,2025-11-01 00:07:46.638,2025-11-01 00:07:46.694,2,234,24009650,,0
2110640112,-,CA,0,,2025-11-01 00:07:48.270,2025-11-04 20:08:34.056,2,234,58621915,,0
2110650696,-,NSW,0,,2025-11-01 00:08:31.573,2025-11-01 00:09:08.615,2,14,1840478,,1
2110671864,-,NSW,0,,2025-11-01 00:09:14.504,2025-11-06 22:37:25.492,2,14,1777969,2025-11-01 00:13:55.714,0
2110677156,-,NSW,0,,2025-11-01 00:09:46.685,2025-11-01 00:13:12.582,2,14,3413624,,1
