"id","address","raw_state","state","stage","notes","created_date","modified_date","priority","country_id","org_id","proposal_sent_date","is_lite"
2110904712,,NSW,NSW,"0",,2025-11-01 00:21:53.308,2025-11-01 00:29:21.549,2,14,448902,,true
2110920588,,VIC,VIC,"0",,2025-11-01 00:24:21.479,2025-11-03 04:15:19.281,2,14,2541255,2025-11-01 00:32:23.864,false
2110925880,,CA,CA,"0",-,2025-11-01 00:24:47.734,2025-11-01 00:24:47.988,2,234,7550637,,false
2110931172,,QLD,QLD,"0",,2025-11-01 00:25:38.496,2025-11-01 00:25:38.560,2,14,29837487,,false
2110947048,,NSW,NSW,"0",,2025-11-01 00:26:15.934,2025-11-01 02:54:14.269,2,14,1033950,,false
2110962924,,NSW,NSW,"0",,2025-11-01 00:30:14.251,2025-11-01 00:30:14.316,2,14,16096180,,false
2110968216,,COUNTY KILDARE,COUNTY KILDARE,"0",-,2025-11-01 00:31:10.843,2025-11-01 00:31:14.473,2,107,24203319,,false
2110973508,,WELLINGTON REGION,WELLINGTON REGION,"0",,2025-11-01 00:31:49.979,2025-11-03 02:46:22.527,2,157,3917824,,false
2110978800,,NSW,NSW,"0",,2025-11-01 00:32:07.947,2025-11-01 00:32:08.132,2,14,2270688,,true
2110984092,,AZ,AZ,"0",,2025-11-01 00:32:19.926,2025-11-01 00:32:20.153,2,234,15489720,,false
2110989384,demo,CA,CA,"0",,2025-11-01 00:32:35.047,2025-11-01 00:32:38.453,2,234,28366803,,false
2110994676,demo,CA,CA,"0",,2025-11-01 00:32:39.336,2025-11-01 00:32:42.946,2,234,20319483,,false
2111005260,,NSW,NSW,"0",,2025-11-01 00:33:16.416,2025-11-01 01:04:37.197,2,14,45362688,,true
2111015844,,NSW,NSW,"0",,2025-11-01 00:33:40.106,2025-11-01 00:36:18.877,2,14,67972341,,false
2111021136,,QLD,QLD,"0",,2025-11-01 00:34:43.733,2025-11-01 00:34:43.832,2,14,67354658,,false
2111026428,,ENGLAND,ENGLAND,"0",,2025-11-01 00:35:45.531,2025-11-07 19:35:23.912,2,232,35403548,,false
2111031720,,QLD,QLD,"0",,2025-11-01 00:36:02.044,2025-11-13 02:42:33.446,2,14,408611,2025-11-01 00:59:18.471,false
2111042304,,VIC,VIC,"0",,2025-11-01 00:37:13.176,2025-11-01 00:42:31.434,2,14,6258025,2025-11-01 00:42:31.394,false
